headline,true_label,predicted_label,confidence,true_label_prob,original_headline
bid improve physical health mentally ill,neutral,positive,0.6853,0.083,bid to improve physical health of mentally ill
adelaide miss spot despite win,negative,positive,0.9474,0.0526,adelaide misses top spot despite win
trucking great,neutral,positive,0.9908,0.009,trucking greats
restaurant refuse entry guide dog man say,negative,neutral,0.6985,0.2056,restaurants refused entry to guide dog man says
economic gloom erode hunter job gain,negative,positive,0.9175,0.0033,economic gloom eroding hunter job gains
samoa set lose vital player world cup,negative,positive,0.5138,0.4835,samoa set to lose vital players for world cup
concern grow future macksville district,positive,neutral,0.6861,0.2636,concern is growing about the future of the macksville district
woman dominate honours list beckham murray snubbed,negative,positive,0.8801,0.1165,women dominate honours list beckham and murray snubbed
yang yong eun say,neutral,negative,0.5686,0.2432,yang yong eun said it
holden take spot practice session,positive,neutral,0.8774,0.0808,holden takes top spots in practice session
asic say miner misunderstand scope study requirement,negative,neutral,0.8389,0.1005,asic says miners misunderstand scoping study requirements
australian christian lobby influential suggest,negative,neutral,0.9085,0.0343,australian christian lobby is not as influential as some suggest
doc neeson read study acting,positive,neutral,0.8944,0.0611,doc neeson well read studied acting
earthquake rattle darwin strike banda sea,neutral,negative,0.7016,0.272,earthquake rattles darwin after striking in banda sea
defendant leave lawyer bush court,neutral,negative,0.5225,0.4323,defendants left without lawyers in bush courts
kinglake cfa volunteer appeal theft sentence,positive,neutral,0.4513,0.4475,kinglake cfa volunteer appeals theft sentence
vic nurse face federal court work ban,neutral,negative,0.7662,0.2303,vic nurses may face federal court over work bans
matildas socceroo earn equal pay,negative,neutral,0.6878,0.1698,matildas and socceroos to earn equal pay
honorary oscar coppola,positive,neutral,0.7199,0.2173,honorary oscar for coppola
chinas peaceful rise south china sea belt road huawei,positive,neutral,0.827,0.1583,chinas peaceful rise south china sea belt and road huawei
family flee burn home,negative,neutral,0.8003,0.1703,family flees burning home
st peters pub brawl end stab,neutral,negative,0.4918,0.4687,st peters pub brawl ends in stabbing
new water restriction wilcannia,negative,neutral,0.8733,0.054,no new water restrictions for wilcannia
amber alert man woman child miss thursday,neutral,negative,0.5791,0.0002,amber alert for man woman and children missing since thursday
police injure fresh belfast clash,negative,positive,0.5587,0.4407,police injured in fresh belfast clashes
wuhan resident stockpile essential good supply,neutral,positive,0.7451,0.167,wuhan residents stockpiling essential goods and supplies
waterford early intervention save money,neutral,positive,0.7896,0.1972,waterford early intervention saves money
co payment increase sa hospital visit committee tell,positive,neutral,0.6682,0.3158,co payment to increase sa hospital visits committee told
government urge engage community sector,positive,neutral,0.8758,0.0288,government urged to engage community sector
cape town brace day water,negative,neutral,0.8589,0.1134,cape town braces for day zero with no water
east gippsland fire bruthen gelantipy ensay,neutral,negative,0.8345,0.1609,east gippsland fires bruthen gelantipy ensay
tuna farm approval set abrolhos island,neutral,positive,0.6809,0.2505,tuna farm approvals set for abrolhos islands
footy final kick ravensthorpe hopetoun hard time,negative,neutral,0.8631,0.12,footy finals kick on ravensthorpe hopetoun hard times
blueberry head sunny state,positive,neutral,0.8837,0.032,blueberries head to the sunny state
manufacturing expand china december,positive,neutral,0.525,0.4656,manufacturing expands in china in december
colton coal federal environmental approval mary river,neutral,positive,0.6897,0.2855,colton coal mine federal environmental approvals mary river
body find creek suspicious police,positive,negative,0.8205,0.0197,body found in creek not suspicious say police
wilmar sugar avert showdown canegrower,negative,neutral,0.8466,0.0129,wilmar sugar averts showdown with canegrowers
lazy grape picker,negative,neutral,0.9058,0.0294,lazy grape pickers
guilty plea man shoot face northern tasmania,positive,negative,0.7681,0.1075,not guilty plea after man shot in face in northern tasmania
pauline hanson say worry drone investigation,positive,negative,0.9316,0.0233,pauline hanson says she is not worried by drone investigation
bali deadlock climate draft,negative,neutral,0.8708,0.067,bali deadlock on climate draft
deaths spark power pole replacement,positive,neutral,0.8889,0.0658,deaths spark power poles replacement
highest pay djs,neutral,negative,0.9725,0.01,highest paid djs of 2015
vic opposition fight save race club meet,positive,negative,0.8408,0.1264,vic opposition fights to save race club meets
socceroos book asian cup warm up,positive,neutral,0.4872,0.3169,socceroos book asian cup warm ups
limit baghdad curfew order ahead pilgrimage,negative,neutral,0.9361,0.047,limited baghdad curfew ordered ahead of pilgrimage
rudd lack courage lead gray,positive,negative,0.8698,0.0139,rudd lacks the courage to lead gray
launceston city council say new group,negative,neutral,0.6049,0.2199,launceston city council says no to new group
not blame johnson slump mum,positive,negative,0.8826,0.0039,dont blame me for johnsons slump mum
fence hide royal adelaide patient carpark port road,negative,neutral,0.6013,0.041,fence to hide royal adelaide patients from carpark and port road
native title compensation stall not govt appeal,neutral,negative,0.5225,0.2711,native title compensation stalls as nt govt appeals
australian dairy producer cash chinese milk demand,negative,neutral,0.7232,0.2563,australian dairy producers cash in on chinese milk demand
rupert murdoch mislead north south pole,negative,neutral,0.5088,0.4825,rupert murdoch misleading north south poles
nrl elite greedy civoniceva,positive,neutral,0.8991,0.0673,nrl elite not greedy civoniceva
heritage list port adelaides fisherman wharf market,negative,neutral,0.8849,0.062,no heritage listing for port adelaides fishermans wharf market
big rocket launch west coast,positive,neutral,0.8879,0.0704,biggest rocket ever launched from us west coast
consumer pay big bank foreign exchange accc,negative,neutral,0.7794,0.1638,consumers pay more at big four banks for foreign exchange accc
howard admit cole inquiry have limited power,positive,negative,0.6634,0.3265,howard admits to cole inquiry having limited power
roger impress scary lee,neutral,positive,0.8814,0.0478,rogers impressed by scary lee
kapooka tender,neutral,positive,0.8092,0.1194,kapooka tender
sweet sour uncertain future sugar mill,positive,negative,0.8487,0.1483,sweet and sour: uncertain future for sugar mill
christmas give say church leader,positive,neutral,0.7651,0.107,christmas about giving says church leader
ultralight pilot make forced landing,negative,neutral,0.767,0.2285,ultralight pilot makes forced landing
spy drones crash iran,neutral,negative,0.8465,0.1524,us spy drones crashed in iran
baby death uncover bacchus marsh hospital,neutral,negative,0.8169,0.1815,more baby deaths uncovered at bacchus marsh hospital
shoalhaven population grow illawarra,positive,neutral,0.7417,0.2247,shoalhaven population growing more than illawarra
arthur absolve player blame,neutral,negative,0.9381,0.0601,arthur absolves players of blame
dog movie troubling message set release australia,negative,neutral,0.9013,0.0376,show dogs movie with troubling message set for release australia
dna bungle deeply disturbing premier,negative,neutral,0.8602,0.0855,dna bungle deeply disturbing premier
inquiry investigate force adoption,negative,neutral,0.7286,0.2704,inquiry investigates forced adoptions
plan beechworth museum closure,negative,neutral,0.9109,0.0572,no plans for beechworth museum closure
worker injure clean spill ranger uranium,neutral,positive,0.686,0.0138,worker injured in clean up of spill at ranger uranium mine
drought affect png province parch,negative,neutral,0.8746,0.1023,some drought affected png provinces still parched
cattle industry challenge,negative,positive,0.8902,0.1015,cattle industry challenged
clinton say china resolve distrust,negative,positive,0.8599,0.017,clinton says us china must resolve distrust
think stay power question,negative,neutral,0.8864,0.1011,so you thinks staying power questioned
eel hold charge rooster,neutral,negative,0.8387,0.1245,eels hold off charging roosters
diamond miner look cut rest,positive,negative,0.7956,0.197,diamond miner looks to be cut above the rest
comet smart storm thrash,negative,positive,0.743,0.0171,comets smarting after storm thrashing
shearer head longreach,positive,neutral,0.8655,0.1137,top shearers head for longreach
chinese town need lifetime pay restaurant tab,negative,neutral,0.6861,0.2747,chinese town needs lifetime to pay restaurant tab
numbat fit radio collar release wild,neutral,positive,0.8521,0.1119,numbats fitted with radio collars are released into the wild
dam cycling desalination need guarantee,positive,neutral,0.3931,0.3715,dam; re cycling or desalination could be needed to guarantee
adf confirm compensate raaf faulty engine,negative,neutral,0.5164,0.4753,adf cannot confirm us will compensate raaf for faulty engines
wheatbelt beer grow brew farm,neutral,positive,0.5139,0.4103,wheatbelt beer: grown and brewed on the farm
alinghi stun americas cup,negative,neutral,0.6805,0.2509,alinghi stunned in americas cup
early hit sydney hobart hopeful,neutral,positive,0.6394,0.3602,early hit out for sydney to hobart hopefuls
preferential treatment thorpe say,negative,neutral,0.811,0.1311,no preferential treatment thorpe says
